name,description,type,developed_by_asterisk,link,github_repo,status,team,contact_email,additional_notes
Disease Dashboard,"Disease Dashboard is a flexible framework to quickly create interactive disease dashboards. It can be used for any disease and any geography, providing dynamic charts, maps, and trend analysis. Designed for ease of use and reproducibility, it helps researchers, policymakers, and public health teams explore disease data and insights efficiently.",product,,,https://github.com/dsih-artpark/disease-dashboard-v2,active,,,
Epipipeline,"This package contains various functions and tools to fetch, preprocess, and standardise epidemiological data.",data-engineering-tools,,,https://github.com/dsih-artpark/epipipeline,active,,,
Acestor,"This is a Python-based framework for multi-model, multi-time-series disease outbreak forecasting. It provides a reproducible modelling pipeline, allowing users to run, compare, and ensemble multiple forecast models efficiently. Designed for flexibility, Acestor supports data preprocessing, model training, evaluation, and ensemble forecasting, making it a comprehensive tool for outbreak prediction",modelling-frameworks-and-tools,,,https://github.com/dsih-artpark/acestor,active,,,
Indra,"A CLI tool for fetching data from open data sources, to be extended to forecast as well. Currently, only fetching data from CDS and ECPDS is implemented.",data-engineering-tools,,,https://github.com/dsih-artpark/indra,active,,,
FMD Scenario Analysis package,A modular Python package to simulate various vaccination strategies for foot-and-mouth disease control using a spatial simulation model,modelling-frameworks-and-tools,,,https://github.com/dsih-artpark/fmd-scenario-analysis,active,,,
dataio,"Dataio is a Postgres and FastAPI-based Dataset Management System (DMS) for users to access and manage datasets distributed by the Data Science Innovation Hub, ARTPARK. The scaffolding can be used to build a similar system for your own datasets.",,,https://dataio.artpark.ai,https://github.com/dsih-artpark/dataio,active,,,
Mosquito larval breeding spot images classification model,A computer vision-aided model that is coupled with geospatial analysis to streamline mosquito breeding spot identification.,modelling-frameworks-and-tools,,https://dsih-artpark.github.io/prism-h-image-classifier/,https://github.com/dsih-artpark/prism-h-image-classifier,active,,,
Data Science Starter Kit,Reproducible Data Science Project Template in Python using `cookiecutter` and `uv`,modelling-frameworks-and-tools,,,https://github.com/dsih-artpark/cookiecutter-ds-uv-template,active,,,
Dharini Platform for Env. Surveillance,"Dharini (Earth in Sanskrit) is our end-to-end platform to bridge these gaps in genomic epidemiological research and surveillance. With it, we aim to provide on-ground researchers with a simple and accessible interface to lower the barrier to using complex metadata standards, while also providing users with a customisable toolkit to work for their specific diseases and contexts of interest.",product,,,https://github.com/orgs/es-dsih-artpark/repositories?type=source,active,,,
FMD Decision Support Toolkit,The FMD App Toolkit is a website designed to aid veterinary officials in the management and control of the Foot and Mouth Disease (FMD). This contains modules that support scenario analysis as well as risk assessment.,product,,https://fmdtk.artpark.ai,https://github.com/dsih-artpark/fmdtk,active,,,
Serosurvey Design for COVID-19,The Serosurvey Design App helps you design optimal surveys for disease burden estimation.,modelling-frameworks-and-tools,"Designed and developed at CNI lab, IISc and ISI Bangalore. Models contributed to ARTPARK",http://optimaldesign.readiness.in/,https://github.com/cni-iisc/optimal-sero-survey-design,active,,,
Campus Rakshak - COVID-19 Readiness of Campuses,The Campus Rakshak simulator helped college campuses assess the various scenarios within a college that will allow the spread of infection through an agent based simulator accounting for various conditions.,modelling-frameworks-and-tools,"Designed and developed at CNI lab, IISc and ISI Bangalore. Models contributed to ARTPARK",https://campus.readiness.in/,https://github.com/cni-iisc/campus-rakshak-simulator,active,,,
Workplace Readiness - COVID-19,The Workplace Readiness Indicator helped workplaces assess the safety of employees returning to work in the wake of the COVID-19 Pandemic.,modelling-frameworks-and-tools,"Designed and developed at CNI lab, IISc and ISI Bangalore. Models contributed to ARTPARK",https://covid.readiness.in/,https://github.com/cni-iisc/workplace-readiness,active,,,
Bharatsim - Agent Based Modelling Framework ,"BharatSim provides a distributed, multi-scale simulation framework for agent-based models. It was originally designed to model the epidemiological dynamics of the COVID-19 pandemic in India, including the social determinants of disease. BharatSim is easily extended to describe other communicable as well as non-communicable diseases.",modelling-frameworks-and-tools,Designed at developed by Ashoka University and Thoughtworks. Models contributed to ARTPARK,https://bharatsim.ashoka.edu.in/,https://github.com/bharatsim/,,,,
Heat Risk Forecast Dashboard,The AI-Driven Heat Risk Forecasting Platform is built to provide policy makers with real time information on heat risk to mitigate the effects of heat stress using cutting-edge AI models.,product,,https://heat-alert.artpark.ai/,,,,,
Epidemic Simulator,The city scale epidemic simulator was developed to model the spread of CovID-19 in Indian demographics,modelling-frameworks-and-tools,"Designed and developed at CNI lab, IISc and ISI Bangalore. Models contributed to ARTPARK",https://cni-iisc.github.io/epidemic-simulator/?lbCkDZ=ySOXAVrJzfc6u,https://github.com/cni-iisc/epidemic-simulator,,,,
